Date,Store,Customers,Promo,Weather,Day_Type,Sales
2023-04-13,C,520.0,1,rainy,weekday,13593.0
2023-06-29,C,368.0,1,rainy,weekend,8025.42
2023-04-03,C,580.0,1,rainy,,12918.95
2023-01-15,B,810.0,1,,weekend,21499.53
2023-04-17,B,835.0,1,,weekend,21594.45
2023-03-13,C,362.0,1,rainy,holiday,10969.68
2023-01-21,B,525.0,0,sunny,holiday,10705.7
2023-04-13,C,265.0,0,,,5329.08
2023-05-02,C,791.0,1,rainy,holiday,18728.77
2023-03-16,A,527.0,,,,11772.16
2023-03-29,C,803.0,0,,weekday,14384.2
2023-04-27,B,496.0,0,,weekday,12407.71
2023-04-10,C,315.0,0,,weekend,6491.73
2023-04-14,A,895.0,1,rainy,weekday,20983.23
2023-06-01,B,963.0,1,,holiday,26447.7
2023-05-11,A,206.0,1,snowy,weekday,3668.37
2023-05-30,A,197.0,,rainy,weekend,4586.4
2023-02-22,C,979.0,1,rainy,,22863.12
2023-01-02,A,581.0,0,rainy,weekday,10741.99
2023-03-29,A,598.0,1,,weekend,17046.87
2023-06-07,B,329.0,1,rainy,weekend,6488.97
2023-02-07,A,356.0,,sunny,weekend,7270.45
2023-05-10,C,142.0,0,snowy,weekday,2457.54
2023-01-21,C,341.0,0,sunny,,6958.06
2023-06-10,C,653.0,0,snowy,weekend,11816.09
2023-02-27,A,194.0,1,snowy,weekend,4281.77
2023-01-22,B,865.0,0,,weekend,20106.68
2023-03-30,C,287.0,1,snowy,weekday,6907.01
2023-02-18,A,484.0,1,snowy,holiday,11207.73
2023-02-28,C,918.0,0,sunny,,19012.17
2023-06-19,C,499.0,1,snowy,weekend,11832.01
2023-01-15,B,605.0,,rainy,weekend,12809.84
2023-06-24,C,266.0,1,rainy,weekend,6429.89
2023-02-20,B,882.0,0,snowy,weekday,15148.98
2023-04-18,A,224.0,0,rainy,holiday,2937.99
2023-02-24,C,772.0,1,,weekend,21474.97
2023-03-05,A,186.0,0,rainy,weekend,4393.11
2023-05-11,A,920.0,1,,weekday,23356.7
2023-02-20,A,588.0,,snowy,,
2023-05-15,C,325.0,1,,,9361.69
2023-01-21,B,756.0,0,,holiday,14780.6
2023-03-14,C,444.0,0,snowy,,8067.0
2023-06-16,A,859.0,,snowy,weekend,14523.93
2023-01-18,B,973.0,1,,weekday,23930.97
2023-05-12,A,617.0,1,sunny,weekend,16542.66
2023-03-30,B,130.0,0,snowy,weekend,2124.4
2023-03-01,C,808.0,1,snowy,holiday,21742.77
2023-01-14,B,843.0,0,sunny,,16568.93
2023-01-09,C,395.0,0,rainy,,6773.29
2023-03-31,A,513.0,0,sunny,,10291.99
2023-02-22,B,936.0,0,rainy,weekend,17639.87
2023-05-10,A,234.0,0,sunny,weekday,3803.54
2023-03-25,B,624.0,0,,weekday,13416.47
2023-04-02,C,103.0,0,snowy,weekend,2882.51
2023-04-21,B,277.0,1,sunny,weekday,7082.08
2023-06-21,B,845.0,1,snowy,weekend,20539.86
2023-01-08,C,358.0,0,rainy,,8785.97
2023-06-24,C,751.0,,,weekend,15709.71
2023-02-04,C,164.0,0,snowy,weekday,2171.81
2023-03-22,B,894.0,0,sunny,weekend,19336.54
2023-06-13,A,462.0,0,sunny,,10075.24
2023-02-19,B,917.0,1,,holiday,26244.56
2023-04-14,B,816.0,0,rainy,weekday,16590.97
2023-05-12,A,116.0,0,,weekday,3314.92
2023-01-02,C,299.0,1,,holiday,8794.54
2023-05-14,B,643.0,1,snowy,weekday,15039.81
2023-02-23,A,311.0,1,rainy,holiday,8554.11
2023-04-16,C,534.0,1,,weekend,12348.69
2023-01-04,C,372.0,,snowy,weekend,5406.83
2023-02-23,B,389.0,0,snowy,weekday,6054.06
2023-05-26,C,902.0,0,rainy,weekday,17916.81
2023-02-13,C,582.0,,rainy,weekend,11174.33
2023-06-11,A,333.0,1,snowy,weekend,7995.84
2023-01-14,A,507.0,1,rainy,weekday,13526.38
2023-04-05,C,793.0,0,snowy,weekday,15249.32
2023-02-17,A,245.0,0,rainy,weekday,2590.69
2023-01-15,C,661.0,0,rainy,,13252.68
2023-02-09,B,529.0,0,rainy,,10104.34
2023-03-23,A,531.0,0,sunny,weekend,10462.39
2023-04-21,C,714.0,0,rainy,,13254.87
2023-02-22,C,644.0,1,sunny,weekday,15786.44
2023-01-24,A,596.0,0,snowy,weekend,10024.89
2023-06-03,A,188.0,0,,weekday,4004.54
2023-05-04,B,510.0,0,,holiday,13614.24
2023-02-10,C,996.0,0,,weekday,20935.94
2023-06-06,B,952.0,0,snowy,holiday,16843.63
2023-01-15,B,926.0,0,rainy,weekday,17870.77
2023-02-14,B,340.0,0,sunny,holiday,7800.35
2023-03-06,A,877.0,1,snowy,holiday,20720.81
2023-03-30,B,322.0,0,,weekend,5490.57
2023-03-12,A,847.0,1,,weekday,22072.68
2023-01-09,A,764.0,1,,weekday,19204.93
2023-03-29,B,567.0,1,,weekend,14382.6
2023-05-09,B,668.0,0,sunny,holiday,15358.8
2023-05-16,C,421.0,0,,weekday,10537.32
2023-03-04,B,474.0,1,sunny,weekday,12107.97
2023-05-19,C,211.0,,,weekday,4511.36
2023-03-22,B,626.0,,snowy,,11248.59
2023-05-16,B,511.0,0,sunny,weekend,10319.17
2023-06-12,B,368.0,1,sunny,,10019.12
2023-06-12,B,725.0,1,snowy,holiday,17753.09
2023-02-02,C,351.0,1,,weekday,9274.92
2023-05-03,C,473.0,1,,weekday,13325.62
2023-01-05,B,753.0,0,rainy,weekday,15014.52
2023-02-10,B,725.0,0,rainy,weekend,13193.26
2023-01-28,C,549.0,1,sunny,holiday,13632.08
2023-05-15,A,901.0,1,rainy,weekday,22589.36
2023-03-13,A,968.0,,snowy,weekday,17323.04
2023-01-12,A,636.0,1,snowy,weekday,14544.75
2023-06-11,C,467.0,0,snowy,weekday,7693.33
2023-02-02,C,921.0,1,sunny,holiday,26005.16
2023-02-17,A,354.0,0,snowy,weekday,8071.09
2023-05-31,A,562.0,1,sunny,weekday,14201.61
2023-03-03,B,367.0,1,sunny,weekday,9822.87
2023-02-06,C,225.0,0,snowy,weekday,5170.92
2023-04-09,C,492.0,0,snowy,weekend,10886.53
2023-06-21,A,,0,sunny,,16540.73
2023-04-14,A,898.0,0,snowy,,16536.28
2023-02-04,C,433.0,1,rainy,weekend,12069.88
2023-04-11,B,664.0,0,sunny,weekend,15575.79
2023-06-24,A,467.0,0,,weekday,8916.32
2023-05-11,C,654.0,0,sunny,weekday,12409.84
2023-01-01,C,777.0,1,snowy,holiday,19077.32
2023-01-05,B,653.0,0,snowy,,11465.32
2023-05-22,B,991.0,0,sunny,weekday,19541.34
2023-04-13,A,555.0,1,sunny,holiday,15715.66
2023-01-27,A,787.0,0,,,15199.18
2023-05-17,A,166.0,0,,holiday,5367.07
2023-01-15,C,165.0,1,sunny,holiday,4092.38
2023-03-31,A,694.0,0,snowy,weekend,12548.49
2023-02-11,C,961.0,1,sunny,weekday,22855.15
2023-05-04,A,716.0,1,rainy,weekday,18199.39
2023-06-28,B,499.0,1,rainy,weekday,10622.51
2023-03-04,B,386.0,0,snowy,holiday,8095.59
2023-04-06,C,985.0,1,sunny,weekday,25319.57
2023-02-21,B,285.0,1,sunny,weekday,4208.56
2023-04-06,C,383.0,0,rainy,weekday,6033.72
2023-05-12,C,615.0,0,sunny,,11922.15
2023-05-31,B,749.0,1,snowy,weekday,18557.58
2023-05-23,C,790.0,1,snowy,holiday,19178.68
2023-06-20,B,336.0,,,weekend,6527.36
2023-01-29,A,117.0,1,snowy,holiday,2153.41
2023-02-05,A,914.0,1,sunny,weekday,22084.54
2023-01-13,B,513.0,0,sunny,,9624.86
2023-06-09,B,108.0,1,rainy,holiday,2119.13
2023-03-12,B,519.0,,rainy,weekend,9640.97
2023-03-27,B,128.0,1,snowy,weekend,2347.37
2023-01-28,A,755.0,0,,,14718.83
2023-03-07,C,447.0,0,sunny,weekday,9890.81
2023-06-19,C,760.0,0,,holiday,15486.74
2023-02-14,A,675.0,1,sunny,holiday,17850.83
2023-03-03,C,978.0,,snowy,weekend,17993.09
2023-05-14,A,549.0,0,snowy,weekday,9881.95
2023-01-28,C,479.0,0,rainy,holiday,9213.94
2023-01-28,B,798.0,1,,weekend,23126.67
2023-04-18,B,465.0,,rainy,weekday,9389.05
2023-02-13,B,326.0,0,snowy,weekday,6744.97
2023-03-25,A,217.0,0,,weekday,4578.59
2023-01-30,A,511.0,0,sunny,weekend,12205.57
2023-03-16,C,455.0,1,rainy,weekend,10206.27
2023-05-08,C,353.0,1,snowy,weekday,7440.78
2023-04-02,C,642.0,0,sunny,weekend,12624.6
2023-05-09,A,772.0,1,snowy,,17215.76
2023-05-01,C,826.0,1,sunny,holiday,24457.08
2023-01-27,B,543.0,1,rainy,,14985.66
2023-05-01,C,780.0,0,sunny,weekday,16554.63
2023-04-26,B,180.0,,,weekend,3677.14
2023-01-03,A,145.0,1,sunny,weekend,4982.3
2023-04-13,B,148.0,1,snowy,weekday,4664.83
2023-06-04,B,548.0,1,sunny,holiday,16364.16
2023-05-17,B,909.0,,rainy,weekday,17144.05
2023-03-03,A,,1,snowy,,11288.68
2023-06-14,A,979.0,0,snowy,holiday,18732.52
2023-02-20,A,382.0,0,snowy,weekday,6655.31
2023-06-21,A,572.0,0,snowy,weekday,9576.64
2023-06-01,C,515.0,0,,weekend,10747.37
2023-02-28,A,699.0,,snowy,weekday,12561.17
2023-04-28,B,220.0,1,snowy,weekend,4381.42
2023-06-09,A,102.0,0,snowy,weekday,4252.85
2023-04-06,C,415.0,0,rainy,weekend,8574.6
2023-06-29,C,559.0,0,rainy,,11848.83
2023-04-23,C,326.0,1,snowy,weekend,8836.33
2023-03-03,B,178.0,0,,,5502.99
2023-02-21,A,756.0,1,sunny,holiday,19792.28
2023-01-12,A,853.0,,,holiday,18166.2
2023-02-08,A,643.0,0,snowy,weekend,10438.42
2023-05-10,B,874.0,1,snowy,holiday,20030.07
2023-05-11,B,822.0,0,,weekday,15430.26
2023-04-23,C,170.0,1,snowy,,3688.36
2023-04-11,C,995.0,0,sunny,weekday,19805.84
2023-04-23,A,296.0,0,rainy,,8640.28
2023-03-22,B,157.0,,sunny,weekend,3825.43
2023-04-23,B,523.0,1,sunny,holiday,15449.78
2023-01-02,A,568.0,0,sunny,holiday,12652.28
2023-05-10,A,723.0,0,,weekday,13147.23
2023-02-23,,147.0,0,,holiday,3560.38
2023-03-28,C,534.0,1,sunny,weekend,12322.6
2023-05-09,C,284.0,0,,weekend,5774.51
2023-05-27,A,978.0,1,snowy,weekday,22588.19
2023-05-06,A,938.0,0,rainy,,17264.12
2023-05-10,C,264.0,0,,,5472.9
2023-02-22,C,826.0,1,,,20047.98
2023-06-21,B,430.0,1,sunny,weekday,9644.53
2023-06-09,B,429.0,1,rainy,weekday,10652.21
2023-06-09,C,220.0,1,snowy,weekday,5890.11
2023-03-09,C,312.0,0,snowy,weekday,6553.85
2023-05-03,B,922.0,1,rainy,weekday,21668.37
2023-05-25,C,606.0,0,snowy,holiday,9844.76
2023-02-07,B,652.0,0,rainy,weekday,12471.9
2023-01-24,B,964.0,0,sunny,holiday,22604.28
2023-03-10,B,900.0,1,snowy,,19066.7
2023-04-26,A,267.0,0,snowy,weekend,6729.27
2023-04-08,A,645.0,0,rainy,,10299.0
2023-05-19,C,929.0,0,snowy,weekday,17079.31
2023-05-24,B,886.0,0,,weekend,19477.25
2023-04-07,A,526.0,0,sunny,,11988.22
2023-05-04,C,808.0,0,snowy,weekday,14957.11
2023-03-11,C,802.0,0,snowy,weekday,14143.27
2023-04-03,C,320.0,0,snowy,,5911.28
2023-01-03,C,109.0,0,rainy,weekend,1493.88
